time,wind,solar,electric,heat,cold
2023/1/14 20:00,617.0907296,0.0,1292.851094,558.6518179,360.90085
2023/1/14 21:00,803.4200733,0.0,1205.671752,600.7685494,316.7757
2023/1/14 22:00,366.6480634,0.0,1213.091271,603.6731516,282.5527167
2023/1/14 23:00,239.9537884,0.0,1196.397354,598.832148,242.39285
2023/1/15 0:00,172.3639827,0.0,1213.091271,596.8957465,228.0466333
2023/1/15 1:00,651.1509322,0.0,1166.71928,595.9275458,232.7742333
2023/1/15 2:00,408.7224313,0.0,1120.34729,563.0087212,227.7551333
2023/1/15 3:00,281.0263857,0.0,1131.476567,556.7154165,230.5676667
2023/1/15 4:00,279.0228443,0.0,1144.460725,575.1112302,241.7983667
2023/1/15 5:00,232.4516165,0.0,1266.882779,666.6061987,270.6277167
2023/1/15 6:00,629.1119776,0.0,1348.497483,702.4296255,284.2928833
2023/1/15 7:00,206.5641428,107.904,1354.062122,706.7865287,288.7775667
2023/1/15 8:00,159.340964,311.348,1350.352362,721.3095396,287.8421167
2023/1/15 9:00,80.31790955,491.188,1357.771881,669.5108008,304.2606333
2023/1/15 10:00,274.1373716,608.084,1365.191399,583.8250367,341.2617
2023/1/15 11:00,3.9e-09,660.912,1381.885316,497.6551723,392.942
2023/1/15 12:00,47.87135138,653.044,1396.724353,447.3087346,454.3433833
2023/1/15 13:00,58.72719708,574.364,1355.917001,432.3016234,475.8587333
2023/1/15 14:00,126.2825321,431.616,1357.771881,442.9518314,499.2176
2023/1/15 15:00,5.44e-09,233.792,1363.33652,447.3087346,516.9999833
2023/1/15 16:00,9.84e-09,38.216,1391.159714,427.4606198,497.9464833
2023/1/15 17:00,327.1182425,0.0,1378.175557,430.8493223,468.2567667
2023/1/15 18:00,358.9348941,0.0,1430.112186,551.3903125,413.8699333
2023/1/15 19:00,108.2506601,0.0,1381.885316,529.1216958,367.8844833
2023/1/15 20:00,286.035239,0.0,1292.851094,537.8355023,347.0387
2023/1/15 21:00,271.008679,0.0,1237.204706,557.1995168,332.8559
2023/1/15 22:00,643.1367669,0.0,1224.220548,563.4928215,309.4281333
